date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:21:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2024%20Aug%202018%2018:51:05%20GMT	https://wirefox.co.uk/service/mobile-app-web-application-development	C:/My%20Web%20Sites/hack/wirefox.co.uk/service/mobile-app-web-application-development.e.delayed	(from https://wirefox.co.uk/)
00:21:08	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2024%20Aug%202018%2018:51:07%20GMT	https://wirefox.co.uk/service/web-design-agency-in-birmingham	C:/My%20Web%20Sites/hack/wirefox.co.uk/service/web-design-agency-in-birmingham	(from https://wirefox.co.uk/)
00:21:09	25633/25633	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Aug%202018%2018:51:07%20GMT	https://wirefox.co.uk/service/mobile-app-web-application-development/	C:/My%20Web%20Sites/hack/wirefox.co.uk/service/mobile-app-web-application-development/index.html	(from https://wirefox.co.uk/)
00:21:09	3255/3255	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Feb%202018%2016:34:55%20GMT	https://wirefox.co.uk/wp-content/themes/wirefox/images/sec11-phoneiconblack.png	C:/My%20Web%20Sites/hack/wirefox.co.uk/wp-content/themes/wirefox/images/sec11-phoneiconblack.png	(from https://wirefox.co.uk/)
00:21:10	23357/23357	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Aug%202018%2018:51:08%20GMT	https://wirefox.co.uk/service/web-design-agency-in-birmingham/	C:/My%20Web%20Sites/hack/wirefox.co.uk/service/web-design-agency-in-birmingham/index.html	(from https://wirefox.co.uk/)
00:21:10	11161/11161	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Feb%202018%2016:41:17%20GMT	https://wirefox.co.uk/wp-content/themes/wirefox/images/shareBlack/fb.png	C:/My%20Web%20Sites/hack/wirefox.co.uk/wp-content/themes/wirefox/images/shareBlack/fb.png	(from https://wirefox.co.uk/)
00:21:11	22814/22814	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Aug%202018%2018:51:09%20GMT	https://wirefox.co.uk/blog/	C:/My%20Web%20Sites/hack/wirefox.co.uk/blog/index.html	(from https://wirefox.co.uk/)
00:21:11	3667/3667	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Feb%202018%2016:43:34%20GMT	https://wirefox.co.uk/wp-content/themes/wirefox/images/shareBlack/tw.png	C:/My%20Web%20Sites/hack/wirefox.co.uk/wp-content/themes/wirefox/images/shareBlack/tw.png	(from https://wirefox.co.uk/)
00:21:11	30695/30695	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Aug%202018%2018:51:09%20GMT	https://wirefox.co.uk/our-work/	C:/My%20Web%20Sites/hack/wirefox.co.uk/our-work/index.html	(from https://wirefox.co.uk/)
00:21:11	7941/7941	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Feb%202018%2016:41:18%20GMT	https://wirefox.co.uk/wp-content/themes/wirefox/images/shareBlack/gplus.png	C:/My%20Web%20Sites/hack/wirefox.co.uk/wp-content/themes/wirefox/images/shareBlack/gplus.png	(from https://wirefox.co.uk/)
00:21:11	21378/21378	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Aug%202018%2018:51:10%20GMT	https://wirefox.co.uk/contact/	C:/My%20Web%20Sites/hack/wirefox.co.uk/contact/index.html	(from https://wirefox.co.uk/)
00:21:12	15214/15214	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Mar%202017%2019:27:24%20GMT	https://wirefox.co.uk/wp-content/themes/wirefox/images/shareBlack/pin.png	C:/My%20Web%20Sites/hack/wirefox.co.uk/wp-content/themes/wirefox/images/shareBlack/pin.png	(from https://wirefox.co.uk/)
00:21:13	15382/15382	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Feb%202018%2016:34:54%20GMT	https://wirefox.co.uk/wp-content/themes/wirefox/images/black.png	C:/My%20Web%20Sites/hack/wirefox.co.uk/wp-content/themes/wirefox/images/black.png	(from https://wirefox.co.uk/)
00:21:18	465816/465816	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Apr%202017%2002:39:58%20GMT	https://wirefox.co.uk/wp-content/themes/wirefox/images/wire1.png	C:/My%20Web%20Sites/hack/wirefox.co.uk/wp-content/themes/wirefox/images/wire1.png	(from https://wirefox.co.uk/)
